video_id,likes,thumbnail_link,extracted_text,labels,web_entities
XcqS9okipTU,12496,https://i.ytimg.com/vi/XcqS9okipTU/default.jpg,,[],[]
DcCh33lJLMw,82691,https://i.ytimg.com/vi/DcCh33lJLMw/default.jpg,YOGA HALLENGE,"['Entertainment', 'Physical fitness', 'Yoga', 'Performing Arts', 'Exercise', 'Yoga pants', 'Choreography', 'Hip', 'Acrobatics', 'Balance']","['Sergei Polunin', 'The Dancer', 'Smokie', 'Film director', 'Dancer', 'Trailer', 'Vimeo', 'Tina Turner', 'Dancer', 'Steven Cantor']"
UwdLlnPaRAU,19849,https://i.ytimg.com/vi/UwdLlnPaRAU/default.jpg,WIRE дема,"['Active Shirt', 'Skateboard Deck', 'Skateboard']","['Tony Hawk', 'Sitting', 'Posture', 'Ergonomics', 'unavailable', 'Health', 'Human body', 'Athlete Speakers', 'Skateboarding', 'Skateboard']"
-txKpma65ZU,4921,https://i.ytimg.com/vi/-txKpma65ZU/default.jpg,FORCED ARBITRATION,"['News', 'Television presenter', 'Blond', 'Television show', 'Display device', 'Spokesperson']","['CBS Evening News', 'Television', 'Broadcasting', 'Live television', 'Host', 'Journalist', 'TV show host', 'Newsmax', 'Tony Dokoupil', 'Ernie Anastos']"
SwqUpegUT2Q,5348,https://i.ytimg.com/vi/SwqUpegUT2Q/default.jpg,Director Interview AVENGERS Russo Bros BIG,"['Fictional character', 'Superhero', 'Hero', 'Avengers', 'Supervillain', 'Captain America']",['Meter']
682vsLy3TtE,21,https://i.ytimg.com/vi/682vsLy3TtE/default.jpg,,"['White-collar worker', 'Suit', 'Necktie', 'Meeting', 'Official', 'Government', 'Debate', 'Businessperson', 'Television show', 'Spokesperson']","['official', 'Businessperson']"
fJJBAwiOjRI,10191,https://i.ytimg.com/vi/fJJBAwiOjRI/default.jpg,,"['Happiness', 'Headgear', 'Facial expression', 'Smile', 'Knit cap', 'Fun', 'Facial hair', 'Beanie', 'Beard', 'Holiday']","['Photo caption', 'Animation', 'Internet', 'Internet meme', 'Cartoon', 'Meme', 'animated cartoon', 'Friendship', 'Subtitle']"
8XBLuU_4Qgo,22750,https://i.ytimg.com/vi/8XBLuU_4Qgo/default.jpg,TODAY TODAY,"['Food', 'Television presenter', 'Television show', 'News', 'Recipe', 'Flower Arranging', 'Houseplant']","['Elizabeth Huberdeau', 'John Cena', 'Girl', 'Dailymotion', 'Girl', 'Girl', 'Country music', 'Curzon']"
6ZfuNTqbHE8,2555411,https://i.ytimg.com/vi/6ZfuNTqbHE8/default.jpg,OFFICIAL TRAILER,"['Action', 'Film', 'Hero', 'Poster', 'Fictional character', 'Video Game Software', 'Avengers', 'Superhero', 'Fiction']","['Avengers: Infinity War', 'Hulk', 'Thanos', 'Marvel Studios', 'Superhero', 'Marvel Entertainment', 'Marvel Cinematic Universe', 'Trailer', 'Avengers: Doomsday']"
spuXN0ccRQ8,17753,https://i.ytimg.com/vi/spuXN0ccRQ8/default.jpg,LEYDEN JAR APP,"['Bottle', 'Fluid', 'Liquid', 'Plastic bottle', 'Drinkware', 'Water bottle', 'Plastic', 'Glass', 'Personal care', 'Nail']","['Cattleya orchids', 'Narcissus', 'Meter']"
BZt0qjTWNhw,27777,https://i.ytimg.com/vi/BZt0qjTWNhw/default.jpg,CAT CATCHES LASER,"['Cat', 'Felinae', 'Felidae', 'Carnivores', 'British Shorthair', 'Snout', 'Whiskers', 'Photo caption', 'Chartreux', 'Advertising']","['Tonkinese cat', 'American Wirehair', 'German Rex', 'Australian Mist', 'Arabian Mau', 'Aegean cat', 'Burmese cat', 'Napoleon cat', 'Felidae', 'Kitten']"
H-kKZujl8CI,1001,https://i.ytimg.com/vi/H-kKZujl8CI/default.jpg,,"['Cloud', 'Highland', 'Cumulus', 'atmospheric phenomenon', 'Terrain', 'geological phenomenon', 'Meteorological phenomenon', 'Prairie', 'Fell', 'Steppe']","['Mount Rainier', 'Mount Scenery', 'Mount Shasta', 'Mountain', 'Hiking', 'Magazine Mountain', 'Trail', 'perfect', 'Travel', 'Photography']"
UFz3K9ByUqE,6723,https://i.ytimg.com/vi/UFz3K9ByUqE/default.jpg,4,"['Electronic device', 'Event', 'Audio equipment', 'Entertainment', 'Microphone', 'Song', 'Singing', 'Performance', 'Blond', 'Performing Arts']","['YouTube', 'BMG', 'continual', 'available', 'contented', 'check', 'robust', 'Teleprompter']"
vDyYMcjf500,7268,https://i.ytimg.com/vi/vDyYMcjf500/default.jpg,DID YOUKNOW GAMING FORTNITE BATTLE ROYALE,"['Fictional character', 'Supervillain', 'Video Game Software']",['Meter']
zuVxgSvyffk,5203,https://i.ytimg.com/vi/zuVxgSvyffk/default.jpg,THIS MIGHT GET A TRAILER,"['Facial expression', 'Smile', 'Happiness']","['Jennifer Shahade', 'Chess', 'Chess opening', 'History of chess', 'Checkmate', 'Chess piece', 'Board Game', 'Chessly', 'Grandmaster']"
Wz_YwUpNOcw,38521,https://i.ytimg.com/vi/Wz_YwUpNOcw/default.jpg,,"['Mountain range', 'Hill station', 'Summit', 'Valley', 'Ridge', 'Alps', 'Massif', 'Mount Scenery', 'National park']","['Album', 'Ye', 'The College Dropout', 'Studio album', 'Rapping', 'Music video', 'Rapper', 'Album cover', 'Spotify', 'Image']"
CUNq2_VjRn4,238247,https://i.ytimg.com/vi/CUNq2_VjRn4/default.jpg,LUCAS SPIDER ENCORE!..,"['Happiness', 'Pest', 'Animation', 'Snout', 'Film', 'Animated cartoon']","['Tibetan spaniel', 'Pekingese', 'Cavalier King Charles Spaniel', 'Shih Tzu', 'Three-toed sloth', 'English Cocker Spaniel', 'Lhasa Apso', 'Sloths', 'Lemurs', 'Slow loris']"
PeYARbPHcvk,34575,https://i.ytimg.com/vi/PeYARbPHcvk/default.jpg,DETECTIVE PIKACHU,"['Toy', 'Screenshot', 'Video Game Software', 'Animation', 'Animated cartoon', 'Pokémon']","['Harrier', 'English Foxhound', 'Beagle', 'Dog Breed', 'Hound', 'Northern harrier', 'Show dog', 'Harrier Jump Jet', 'Birds', 'Breed']"
